Treatment ,Sample_day,Date,Hive_number,Sample_number,Visual1,Visual2
treatment,1,10/21/2020,4,1,Y,Y
treatment,1,10/21/2020,4,2,N,N
treatment,1,10/21/2020,4,3,N,N
treatment,1,10/21/2020,4,4,Y,Y
treatment,1,10/21/2020,4,5,N,N
treatment,1,10/21/2020,4,6,N,N
treatment,1,10/21/2020,4,7,N,N
treatment,1,10/21/2020,4,8,N,N
treatment,1,10/21/2020,4,9,N,N
treatment,1,10/21/2020,4,10,N,N
treatment,1,10/21/2020,4,11,N,N
treatment,1,10/21/2020,4,12,N,N
treatment,1,10/21/2020,4,13,N,N
treatment,1,10/21/2020,4,14,N,N
treatment,1,10/21/2020,4,15,N,N
treatment,1,10/21/2020,4,16,N,N
treatment,1,10/21/2020,4,17,N,N
treatment,1,10/21/2020,4,18,N,N
treatment,1,10/21/2020,4,19,N,N
treatment,1,10/21/2020,4,20,N,N
treatment,1,10/21/2020,5,1,N,N
treatment,1,10/21/2020,5,2,N,N
treatment,1,10/21/2020,5,3,N,N
treatment,1,10/21/2020,5,4,N,N
treatment,1,10/21/2020,5,5,N,N
treatment,1,10/21/2020,5,6,N,N
treatment,1,10/21/2020,5,7,N,N
treatment,1,10/21/2020,5,8,N,N
treatment,1,10/21/2020,5,9,N,N
treatment,1,10/21/2020,5,10,N,N
treatment,1,10/21/2020,5,11,N,N
treatment,1,10/21/2020,5,12,N,N
treatment,1,10/21/2020,5,13,N,N
treatment,1,10/21/2020,5,14,N,N
treatment,1,10/21/2020,5,15,N,N
treatment,1,10/21/2020,5,16,N,N
treatment,1,10/21/2020,5,17,N,N
treatment,1,10/21/2020,5,18,N,N
treatment,1,10/21/2020,5,19,N,N
treatment,1,10/21/2020,5,20,N,N
consumption ,1,10/21/2020,11,1,N,N
consumption ,1,10/21/2020,11,2,N,N
consumption ,1,10/21/2020,11,3,N,N
consumption ,1,10/21/2020,11,4,N,N
consumption ,1,10/21/2020,11,5,N,N
consumption ,1,10/21/2020,11,6,N,N
consumption ,1,10/21/2020,11,7,N,N
consumption ,1,10/21/2020,11,8,N,N
consumption ,1,10/21/2020,11,9,N,N
consumption ,1,10/21/2020,11,10,N,N
consumption ,1,10/21/2020,11,11,N,N
consumption ,1,10/21/2020,11,12,N,N
consumption ,1,10/21/2020,11,13,N,N
consumption ,1,10/21/2020,11,14,N,N
consumption ,1,10/21/2020,11,15,N,N
consumption ,1,10/21/2020,11,16,N,N
consumption ,1,10/21/2020,11,17,N,N
consumption ,1,10/21/2020,11,18,N,N
consumption ,1,10/21/2020,11,19,N,N
consumption ,1,10/21/2020,11,20,N,N
positive ,1,10/21/2020,13,1,N,N
positive ,1,10/21/2020,13,2,N,N
positive ,1,10/21/2020,13,3,N,N
positive ,1,10/21/2020,13,4,Y,Y
positive ,1,10/21/2020,13,5,Y,Y
positive ,1,10/21/2020,13,6,Y,Y
positive ,1,10/21/2020,13,7,Y,Y
positive ,1,10/21/2020,13,8,N,N
positive ,1,10/21/2020,13,9,N,N
positive ,1,10/21/2020,13,10,Y,Y
positive ,1,10/21/2020,13,11,N,N
positive ,1,10/21/2020,13,12,N,N
positive ,1,10/21/2020,13,13,N,N
positive ,1,10/21/2020,13,14,Y,Y
positive ,1,10/21/2020,13,15,N,N
positive ,1,10/21/2020,13,16,N,N
positive ,1,10/21/2020,13,17,N,N
positive ,1,10/21/2020,13,18,N,N
positive ,1,10/21/2020,13,19,N,N
positive ,1,10/21/2020,13,20,N,N
positive ,1,10/21/2020,14,1,Y,Y
positive ,1,10/21/2020,14,2,Y,Y
positive ,1,10/21/2020,14,3,Y,Y
positive ,1,10/21/2020,14,4,Y,Y
positive ,1,10/21/2020,14,5,N,N
positive ,1,10/21/2020,14,6,Y,N
positive ,1,10/21/2020,14,7,Y,Y
positive ,1,10/21/2020,14,8,Y,Y
positive ,1,10/21/2020,14,9,N,N
positive ,1,10/21/2020,14,10,Y,Y
positive ,1,10/21/2020,14,11,Y,Y
positive ,1,10/21/2020,14,12,Y,Y
positive ,1,10/21/2020,14,13,Y,Y
positive ,1,10/21/2020,14,14,Y,Y
positive ,1,10/21/2020,14,15,Y,Y
positive ,1,10/21/2020,14,16,Y,Y
positive ,1,10/21/2020,14,17,N,N
positive ,1,10/21/2020,14,18,Y,Y
positive ,1,10/21/2020,14,19,Y,Y
positive ,1,10/21/2020,14,20,Y,Y
negative ,1,10/22/2020,1,1,N,N
negative ,1,10/22/2020,1,2,N,N
negative ,1,10/22/2020,1,3,N,N
negative ,1,10/22/2020,1,4,N,N
negative ,1,10/22/2020,1,5,N,N
negative ,1,10/22/2020,1,6,N,N
negative ,1,10/22/2020,1,7,N,N
negative ,1,10/22/2020,1,8,N,N
